# video = bench_spoto_95x6_2_20260813.mov
# tracker = vtrack
# commit = 5667852
# generated = 2026-08-17T15:34Z
# n_frames = 1038
# lift = bench
# camera_side = right
# fps = 30
# m_per_px = 0.00205085364306
# travel_m = 0.639242174993
# plate_radius_px = 98.7393716197
# sticker_radius_m = 0.2025
t,x,height,score,n_markers,residual_px,m_per_px_t,circumradius_px
10.6333333333,0.00174124130197,0.00424959630205,6,6,1.32760309472,0.00205085364306,98.7393716197
10.6666666667,0.00174338522067,0.00425416487774,6,6,1.32736314585,0.00205085364306,98.7393716197
10.7,0.174366623632,0.427525643679,5,5,2.22898488202,0.00205085364306,98.7393716197
10.7333333333,0.173731680568,0.427298754062,5,5,2.33914036666,0.00205085364306,98.7393716197
10.7666666667,0.173068367983,0.426832858365,5,5,2.39104737181,0.00205085364306,98.7393716197
10.8,0.173343355831,0.427267682826,5,5,2.18146345791,0.00205085364306,98.7393716197
10.8333333333,0.173310037486,0.42725566113,5,5,2.18164285624,0.00205085364306,98.7393716197
10.8666666667,0.173309018845,0.427265817095,5,5,2.17879792275,0.00205085364306,98.7393716197
10.9,0.173568478002,0.430058761032,6,6,3.15347822741,0.00205085364306,98.7393716197
10.9333333333,0.172428467772,0.429909029233,6,6,3.31304496708,0.00205085364306,98.7393716197
10.9666666667,0.172350623634,0.428771173152,6,6,3.3760589519,0.00205085364306,98.7393716197
11,0.172533645295,0.429680802473,6,6,3.33159842771,0.00205085364306,98.7393716197
11.0333333333,0.170946041785,0.428530112842,7,7,3.12789767659,0.00205085364306,98.7393716197
11.0666666667,0.170930643083,0.42849550961,7,7,3.12474121804,0.00205085364306,98.7393716197
11.1,-0.00108359299901,0.00228012050156,7,7,2.34114158382,0.00205085364306,98.7393716197
11.1333333333,-0.00108521769556,0.00228919308985,7,7,2.34054490469,0.00205085364306,98.7393716197
11.1666666667,0.174177750059,0.430592316005,7,7,3.3404685938,0.00205085364306,98.7393716197
11.2,0.173577339246,0.431795562319,7,7,3.30425263424,0.00205085364306,98.7393716197
11.2333333333,-0.00108984147785,0.00241555688798,6,6,2.51488816608,0.00205085364306,98.7393716197
11.2666666667,0.173619500191,0.432900170851,5,5,3.49756631159,0.00205085364306,98.7393716197
11.3,0.169733080239,0.428628565784,6,6,3.23811703257,0.00205085364306,98.7393716197
11.3333333333,0.170267926972,0.428737612325,6,6,3.39559436297,0.00205085364306,98.7393716197
11.3666666667,0.170273075177,0.428753125322,6,6,3.38784614182,0.00205085364306,98.7393716197
11.4,0.170303763414,0.428791665581,6,6,3.38398010046,0.00205085364306,98.7393716197
11.4333333333,0.1702439716,0.42875699297,6,6,3.38542296996,0.00205085364306,98.7393716197
11.4666666667,0.170551358983,0.428414507897,6,6,3.38179280014,0.00205085364306,98.7393716197
11.5,0.170688572142,0.428511612024,6,6,3.36938720719,0.00205085364306,98.7393716197
11.5333333333,0.170919855819,0.42845230689,5,5,3.68633691404,0.00205085364306,98.7393716197
11.5666666667,-0.00109350842435,0.00237199118579,7,7,2.35452982519,0.00205085364306,98.7393716197
11.6,0.17619766866,0.430739285819,7,7,3.35917757037,0.00205085364306,98.7393716197
11.6333333333,0.182459489312,0.432600257083,6,6,2.34905740234,0.00205085364306,98.7393716197
11.6666666667,0.12193936319,0.3373549431,6,6,0.255114982577,0.00205085364306,98.7393716197
11.7,0.121853966539,0.33752720611,6,6,0.292798512074,0.00205085364306,98.7393716197
11.7333333333,0.124014685449,0.341073760323,6,6,1.70005751422,0.00205085364306,98.7393716197
11.7666666667,0.123324834663,0.341559459961,8,8,1.44161080056,0.00205085364306,98.7393716197
11.8,0.122436983391,0.341811471459,7,7,1.63932121114,0.00205085364306,98.7393716197
11.8333333333,0.120147474292,0.341081029289,6,6,1.56526824932,0.00205085364306,98.7393716197
11.8666666667,0.120195858469,0.340788609711,6,6,1.46203738056,0.00205085364306,98.7393716197
11.9,0.122541130775,0.343918557583,6,6,0.728227976702,0.00205085364306,98.7393716197
11.9333333333,0.121682504284,0.342740339804,5,5,0.380957524161,0.00205085364306,98.7393716197
